Uniprot_Id,Protein_Name,Gene_Name
P0DUB6,"Alpha-amylase 1A, EC 3.2.1.1 (1,4-alpha-D-glucan glucanohydrolase 1) (Salivary alpha-amylase)",AMY1A
P03950,Angiogenin (EC 3.1.27.-) (Ribonuclease 5) (RNase 5),ANG RNASE5
P16157,"Ankyrin-1, ANK-1 (Ankyrin-R) (Erythrocyte ankyrin)",ANK1
Q12955,"Ankyrin-3, ANK-3 (Ankyrin-G)",ANK3
Q9P2R3,"Rabankyrin-5, Rank-5 (Ankyrin repeat and FYVE domain-containing protein 1) (Ankyrin repeats hooked to a zinc finger motif)",ANKFY1
Q9H9E1,Ankyrin repeat family A protein 2 (RFXANK-like protein 2),ANKRA2
P39687,"Acidic leucine-rich nuclear phosphoprotein 32 family member A (Acidic nuclear phosphoprotein pp32, pp32) (Leucine-rich acidic nuclear protein, LANP) (Mapmodulin) (Potent heat-stable protein phosphatase 2A inhibitor I1PP2A) (Putative HLA-DR-associated protein I, PHAPI)",ANP32A
Q92688,"Acidic leucine-rich nuclear phosphoprotein 32 family member B (Acidic protein rich in leucines) (Putative HLA-DR-associated protein I-2, PHAPI2) (Silver-stainable protein SSP29)",ANP32B
Q9BTT0,"Acidic leucine-rich nuclear phosphoprotein 32 family member E (LANP-like protein, LANP-L)",ANP32E
P15144,"Aminopeptidase N, AP-N, hAPN, EC 3.4.11.2 (Alanyl aminopeptidase) (Aminopeptidase M, AP-M) (Microsomal aminopeptidase) (Myeloid plasma membrane glycoprotein CD13) (gp150) (CD antigen CD13)",ANPEP
P04083,Annexin A1 (Annexin I) (Annexin-1) (Calpactin II) (Calpactin-2) (Chromobindin-9) (Lipocortin I) (Phospholipase A2 inhibitory protein) (p35) [Cleaved into: Annexin Ac2-26 ],ANXA1
P50995,"Annexin A11 (56 kDa autoantigen) (Annexin XI) (Annexin-11) (Calcyclin-associated annexin 50, CAP-50)",ANXA11
P07355,"Annexin A2 (Annexin II) (Annexin-2) (Calpactin I heavy chain) (Calpactin-1 heavy chain) (Chromobindin-8) (Lipocortin II) (Placental anticoagulant protein IV, PAP-IV) (Protein I) (p36)",ANXA2
P12429,"Annexin A3 (35-alpha calcimedin) (Annexin III) (Annexin-3) (Inositol 1,2-cyclic phosphate 2-phosphohydrolase) (Lipocortin III) (Placental anticoagulant protein III, PAP-III)",ANXA3
P09525,"Annexin A4 (35-beta calcimedin) (Annexin IV) (Annexin-4) (Carbohydrate-binding protein p33/p41) (Chromobindin-4) (Endonexin I) (Lipocortin IV) (P32.5) (PP4-X) (Placental anticoagulant protein II, PAP-II) (Protein II)",ANXA4
P08758,"Annexin A5 (Anchorin CII) (Annexin V) (Annexin-5) (Calphobindin I, CPB-I) (Endonexin II) (Lipocortin V) (Placental anticoagulant protein 4, PP4) (Placental anticoagulant protein I, PAP-I) (Thromboplastin inhibitor) (Vascular anticoagulant-alpha, VAC-alpha)",ANXA5
P08133,"Annexin A6 (67 kDa calelectrin) (Annexin VI) (Annexin-6) (Calphobindin-II, CPB-II) (Chromobindin-20) (Lipocortin VI) (Protein III) (p68) (p70)",ANXA6
P20073,Annexin A7 (Annexin VII) (Annexin-7) (Synexin),ANXA7
P19801,Amiloride-sensitive amine oxidase [copper-containing] (DAO) (Diamine oxidase) (EC 1.4.3.22) (Amiloride-binding protein 1) (Amine oxidase copper domain-containing protein 1) (Histaminase) (Kidney amine oxidase) (KAO),AOC1 ABP1 DAO1
Q16853,"Membrane primary amine oxidase, EC 1.4.3.21 (Copper amine oxidase) (HPAO) (Semicarbazide-sensitive amine oxidase, SSAO) (Vascular adhesion protein 1, VAP-1)",AOC3
Q06278,"Aldehyde oxidase, EC 1.2.3.1 (Aldehyde oxidase 1) (Azaheterocycle hydroxylase, EC 1.17.3.-)",AOX1
Q10567,AP-1 complex subunit beta-1 (Adaptor protein complex AP-1 subunit beta-1) (Adaptor-related protein complex 1 subunit beta-1) (Beta-1-adaptin) (Beta-adaptin 1) (Clathrin assembly protein complex 1 beta large chain) (Golgi adaptor HA1/AP1 adaptin beta subunit),AP1B1
O43747,AP-1 complex subunit gamma-1 (Adaptor protein complex AP-1 subunit gamma-1) (Adaptor-related protein complex 1 subunit gamma-1) (Clathrin assembly protein complex 1 gamma-1 large chain) (Gamma1-adaptin) (Golgi adaptor HA1/AP1 adaptin subunit gamma-1),AP1G1
Q9BXS5,AP-1 complex subunit mu-1 (AP-mu chain family member mu1A) (Adaptor protein complex AP-1 subunit mu-1) (Adaptor-related protein complex 1 subunit mu-1) (Clathrin assembly protein complex 1 mu-1 medium chain 1) (Clathrin coat assembly protein AP47) (Clathrin coat-associated protein AP47) (Golgi adaptor HA1/AP1 adaptin mu-1 subunit) (Mu-adaptin 1) (Mu1A-adaptin),AP1M1
Q9Y6Q5,AP-1 complex subunit mu-2 (AP-mu chain family member mu1B) (Adaptor protein complex AP-1 subunit mu-2) (Adaptor-related protein complex 1 subunit mu-2) (Clathrin assembly protein complex 1 mu-2 medium chain 2) (Golgi adaptor HA1/AP1 adaptin mu-2 subunit) (Mu-adaptin 2) (Mu1B-adaptin),AP1M2
P61966,AP-1 complex subunit sigma-1A (Adaptor protein complex AP-1 subunit sigma-1A) (Adaptor-related protein complex 1 subunit sigma-1A) (Clathrin assembly protein complex 1 sigma-1A small chain) (Clathrin coat assembly protein AP19) (Golgi adaptor HA1/AP1 adaptin sigma-1A subunit) (HA1 19 kDa subunit) (Sigma 1a subunit of AP-1 clathrin) (Sigma-adaptin 1A) (Sigma1A-adaptin),AP1S1
O95782,AP-2 complex subunit alpha-1 (100 kDa coated vesicle protein A) (Adaptor protein complex AP-2 subunit alpha-1) (Adaptor-related protein complex 2 subunit alpha-1) (Alpha-adaptin A) (Alpha1-adaptin) (Clathrin assembly protein complex 2 alpha-A large chain) (Plasma membrane adaptor HA2/AP2 adaptin alpha A subunit),AP2A1
O94973,"AP-2 complex subunit alpha-2 (100 kDa coated vesicle protein C) (Adaptor protein complex AP-2 subunit alpha-2) (Adaptor-related protein complex 2 subunit alpha-2) (Alpha-adaptin C) (Alpha2-adaptin) (Clathrin assembly protein complex 2 alpha-C large chain) (Huntingtin yeast partner J) (Huntingtin-interacting protein 9, HIP-9) (Huntingtin-interacting protein J) (Plasma membrane adaptor HA2/AP2 adaptin alpha C subunit)",AP2A2
P63010,AP-2 complex subunit beta (AP105B) (Adaptor protein complex AP-2 subunit beta) (Adaptor-related protein complex 2 subunit beta) (Beta-2-adaptin) (Beta-adaptin) (Clathrin assembly protein complex 2 beta large chain) (Plasma membrane adaptor HA2/AP2 adaptin beta subunit),AP2B1
Q96CW1,AP-2 complex subunit mu (AP-2 mu chain) (Adaptin-mu2) (Adaptor protein complex AP-2 subunit mu) (Adaptor-related protein complex 2 subunit mu) (Clathrin assembly protein complex 2 mu medium chain) (Clathrin coat assembly protein AP50) (Clathrin coat-associated protein AP50) (HA2 50 kDa subunit) (Plasma membrane adaptor AP-2 50 kDa protein),AP2M1
P53680,AP-2 complex subunit sigma (Adaptor protein complex AP-2 subunit sigma) (Adaptor-related protein complex 2 subunit sigma) (Clathrin assembly protein 2 sigma small chain) (Clathrin coat assembly protein AP17) (Clathrin coat-associated protein AP17) (HA2 17 kDa subunit) (Plasma membrane adaptor AP-2 17 kDa protein) (Sigma2-adaptin),AP2S1
O00203,AP-3 complex subunit beta-1 (Adaptor protein complex AP-3 subunit beta-1) (Adaptor-related protein complex 3 subunit beta-1) (Beta-3A-adaptin) (Clathrin assembly protein complex 3 beta-1 large chain),AP3B1
Q9Y2T2,AP-3 complex subunit mu-1 (AP-3 adaptor complex mu3A subunit) (Adaptor-related protein complex 3 subunit mu-1) (Mu-adaptin 3A) (Mu3A-adaptin),AP3M1
P02743,"Serum amyloid P-component, SAP (9.5S alpha-1-glycoprotein) [Cleaved into: Serum amyloid P-component(1-203) ]",APCS
P13798,"Acylamino-acid-releasing enzyme, AARE, EC 3.4.19.1 (Acyl-peptide hydrolase, APH) (Acylaminoacyl-peptidase) (Oxidized protein hydrolase, OPH)",APEH
P27695,"DNA-(apurinic or apyrimidinic site) endonuclease, EC 3.1.11.2 (APEX nuclease, APEN) (Apurinic-apyrimidinic endonuclease 1, AP endonuclease 1, APE-1) (REF-1) (Redox factor-1) [Cleaved into: DNA-(apurinic or apyrimidinic site) endonuclease, mitochondrial ]",APEX1
Q9BZZ5,"Apoptosis inhibitor 5, API-5 (Antiapoptosis clone 11 protein, AAC-11) (Cell migration-inducing gene 8 protein) (Fibroblast growth factor 2-interacting factor, FIF) (Protein XAGL)",API5
Q9HDC9,Adipocyte plasma membrane-associated protein (Protein BSCv),APMAP
P02647,"Apolipoprotein A-I, Apo-AI, ApoA-I (Apolipoprotein A1) [Cleaved into: Proapolipoprotein A-I, ProapoA-I; Truncated apolipoprotein A-I (Apolipoprotein A-I(1-242)) ]",APOA1
P02652,"Apolipoprotein A-II, Apo-AII, ApoA-II (Apolipoprotein A2) [Cleaved into: Proapolipoprotein A-II, ProapoA-II; Truncated apolipoprotein A-II (Apolipoprotein A-II(1-76)) ]",APOA2
P06727,"Apolipoprotein A-IV, Apo-AIV, ApoA-IV (Apolipoprotein A4)",APOA4
P04114,"Apolipoprotein B-100, Apo B-100 [Cleaved into: Apolipoprotein B-48, Apo B-48 ]",APOB
Q0VD83,"Apolipoprotein B receptor (Apolipoprotein B-100 receptor) (Apolipoprotein B-48 receptor, Apolipoprotein B48 receptor, apoB-48R)",APOBR
P02654,"Apolipoprotein C-I, Apo-CI, ApoC-I (Apolipoprotein C1) [Cleaved into: Truncated apolipoprotein C-I ]",APOC1
P02655,"Apolipoprotein C-II, Apo-CII, ApoC-II (Apolipoprotein C2) [Cleaved into: Proapolipoprotein C-II, ProapoC-II ]",APOC2
P02656,"Apolipoprotein C-III, Apo-CIII, ApoC-III (Apolipoprotein C3)",APOC3
P55056,"Apolipoprotein C-IV, Apo-CIV, ApoC-IV (Apolipoprotein C4)",APOC4
P05090,"Apolipoprotein D, Apo-D, ApoD",APOD
P02649,"Apolipoprotein E, Apo-E",APOE
Q13790,"Apolipoprotein F, Apo-F (Lipid transfer inhibitor protein, LTIP)",APOF
P02749,"Beta-2-glycoprotein 1 (APC inhibitor) (Activated protein C-binding protein) (Anticardiolipin cofactor) (Apolipoprotein H, Apo-H) (Beta-2-glycoprotein I, B2GPI, Beta(2)GPI)",APOH
O14791,"Apolipoprotein L1 (Apolipoprotein L, Apo-L, ApoL) (Apolipoprotein L-I, ApoL-I)",APOL1
Q9BQE5,"Apolipoprotein L2 (Apolipoprotein L-II, ApoL-II)",APOL2
O95445,"Apolipoprotein M, Apo-M, ApoM (Protein G3a)",APOM
Q9BUR5,MICOS complex subunit MIC26 (Apolipoprotein O) (MICOS complex subunit MIC23) (Protein FAM121B),APOO
P05067,Amyloid-beta precursor protein (APP) (ABPP) (APPI) (Alzheimer disease amyloid A4 protein homolog) (Alzheimer disease amyloid protein) (Amyloid precursor protein) (Amyloid-beta (A4) precursor protein) (Amyloid-beta A4 protein) (Cerebral vascular amyloid peptide) (CVAP) (PreA4) (Protease nexin-II) (PN-II) [Cleaved into: N-APP; Soluble APP-alpha (S-APP-alpha); Soluble APP-beta (S-APP-beta); C99 (Beta-secretase C-terminal fragment) (Beta-CTF); Amyloid-beta protein 42 (Abeta42) (Beta-APP42); Amyloid-beta protein 40 (Abeta40) (Beta-APP40); C83 (Alpha-secretase C-terminal fragment) (Alpha-CTF); P3(42); P3(40); C80; Gamma-secretase C-terminal fragment 59 (Amyloid intracellular domain 59) (AICD-59) (AID(59)) (Gamma-CTF(59)); Gamma-secretase C-terminal fragment 57 (Amyloid intracellular domain 57) (AICD-57) (AID(57)) (Gamma-CTF(57)); Gamma-secretase C-terminal fragment 50 (Amyloid intracellular domain 50) (AICD-50) (AID(50)) (Gamma-CTF(50)); C31],APP A4 AD1
P07741,"Adenine phosphoribosyltransferase, APRT, EC 2.4.2.7",APRT
P29972,"Aquaporin-1, AQP-1 (Aquaporin-CHIP) (Urine water channel) (Water channel protein for red blood cells and kidney proximal tubule)",AQP1
Q92482,"Aquaporin-3, AQP-3 (Aquaglyceroporin-3)",AQP3
P48444,"Coatomer subunit delta (Archain) (Delta-coat protein, Delta-COP)",ARCN1
P84077,ADP-ribosylation factor 1,ARF1
P61204,ADP-ribosylation factor 3,ARF3
P18085,ADP-ribosylation factor 4,ARF4
P84085,ADP-ribosylation factor 5,ARF5
P62330,"ADP-ribosylation factor 6, EC 3.6.5.2",ARF6
P53367,Arfaptin-1 (ADP-ribosylation factor-interacting protein 1),ARFIP1
P05089,"Arginase-1, EC 3.5.3.1 (Liver-type arginase) (Type I arginase)",ARG1
Q07960,Rho GTPase-activating protein 1 (CDC42 GTPase-activating protein) (GTPase-activating protein rhoGAP) (Rho-related small GTPase protein activator) (Rho-type GTPase-activating protein 1) (p50-RhoGAP),ARHGAP1
Q8N392,Rho GTPase-activating protein 18 (MacGAP) (Rho-type GTPase-activating protein 18),ARHGAP18
Q9P227,Rho GTPase-activating protein 23 (Rho-type GTPase-activating protein 23),ARHGAP23
P98171,Rho GTPase-activating protein 4 (Rho-GAP hematopoietic protein C1) (Rho-type GTPase-activating protein 4) (p115),ARHGAP4
P52565,"Rho GDP-dissociation inhibitor 1, Rho GDI 1 (Rho-GDI alpha)",ARHGDIA
P52566,"Rho GDP-dissociation inhibitor 2, Rho GDI 2 (Ly-GDI) (Rho-GDI beta)",ARHGDIB
P36405,ADP-ribosylation factor-like protein 3,ARL 3.00
O75915,"PRA1 family protein 3 (ADP-ribosylation factor-like protein 6-interacting protein 5, ARL-6-interacting protein 5, Aip-5) (Cytoskeleton-related vitamin A-responsive protein) (Dermal papilla-derived protein 11) (GTRAP3-18) (Glutamate transporter EAAC1-interacting protein) (JM5) (Prenylated Rab acceptor protein 2) (Protein JWa) (Putative MAPK-activating protein PM27)",ARL6IP5
Q9H993,"Damage-control phosphatase ARMT1, EC 3.1.3.- (Acidic residue methyltransferase 1) (Protein-glutamate O-methyltransferase, EC 2.1.1.-) (Sugar phosphate phosphatase ARMT1)",ARMT1
Q92747,Actin-related protein 2/3 complex subunit 1A (SOP2-like protein),ARPC1A
O15143,Actin-related protein 2/3 complex subunit 1B (Arp2/3 complex 41 kDa subunit) (p41-ARC),ARPC1B
O15144,"Actin-related protein 2/3 complex subunit 2 (Arp2/3 complex 34 kDa subunit, p34-ARC)",ARPC2
O15145,"Actin-related protein 2/3 complex subunit 3 (Arp2/3 complex 21 kDa subunit, p21-ARC)",ARPC3
P59998,"Actin-related protein 2/3 complex subunit 4 (Arp2/3 complex 20 kDa subunit, p20-ARC)",ARPC4
O15511,"Actin-related protein 2/3 complex subunit 5 (Arp2/3 complex 16 kDa subunit, p16-ARC)",ARPC5
Q9BPX5,"Actin-related protein 2/3 complex subunit 5-like protein (Arp2/3 complex 16 kDa subunit 2, ARC16-2)",ARPC5L
P49407,Beta-arrestin-1 (Arrestin beta-1) (Non-visual arrestin-2),ARRB1
P15289,Arylsulfatase A (ASA) (EC 3.1.6.8) (Cerebroside-sulfatase) [Cleaved into: Arylsulfatase A component B; Arylsulfatase A component C],ARSA
Q13510,"Acid ceramidase, AC, ACDase, Acid CDase, EC 3.5.1.23 (Acylsphingosine deacylase) (N-acylethanolamine hydrolase ASAH1, EC 3.5.1.-) (N-acylsphingosine amidohydrolase) (Putative 32 kDa heart protein, PHP32) [Cleaved into: Acid ceramidase subunit alpha; Acid ceramidase subunit beta ]",ASAH1
P04424,"Argininosuccinate lyase, ASAL, EC 4.3.2.1 (Arginosuccinase)",ASL
Q9BXN1,"Asporin (Periodontal ligament-associated protein 1, PLAP-1)",ASPN
Q7L266,"Isoaspartyl peptidase/L-asparaginase, EC 3.4.19.5, EC 3.5.1.1 (Asparaginase-like protein 1) (Beta-aspartyl-peptidase) (Isoaspartyl dipeptidase) (L-asparagine amidohydrolase) [Cleaved into: Isoaspartyl peptidase/L-asparaginase alpha chain; Isoaspartyl peptidase/L-asparaginase beta chain ]",ASRGL1
P00966,"Argininosuccinate synthase, EC 6.3.4.5 (Citrulline--aspartate ligase)",ASS1
Q5T9A4,ATPase family AAA domain-containing protein 3B (AAA-TOB3),ATAD3B
Q9NT62,"Ubiquitin-like-conjugating enzyme ATG3, EC 2.3.2.- (Autophagy-related protein 3, APG3-like, hApg3) (Protein PC3-96)",ATG3
O95352,"Ubiquitin-like modifier-activating enzyme ATG7 (ATG12-activating enzyme E1 ATG7) (Autophagy-related protein 7, APG7-like, hAGP7) (Ubiquitin-activating enzyme E1-like protein)",ATG7
P31939,"Bifunctional purine biosynthesis protein ATIC (AICAR transformylase/inosine monophosphate cyclohydrolase, ATIC) [Cleaved into: Bifunctional purine biosynthesis protein ATIC, N-terminally processed ] [Includes: Phosphoribosylaminoimidazolecarboxamide formyltransferase, EC 2.1.2.3 (5-aminoimidazole-4-carboxamide ribonucleotide formyltransferase, AICAR formyltransferase) (AICAR transformylase); Inosine 5'-monophosphate cyclohydrolase, IMP cyclohydrolase, EC 3.5.4.10 (IMP synthase) (Inosinicase) ]",ATIC
Q6DD88,"Atlastin-3, EC 3.6.5.-",ATL3
Q9HD20,"Endoplasmic reticulum transmembrane helix translocase, EC 7.4.2.- (Endoplasmic reticulum P5A-ATPase)",ATP13A1
P05023,"Sodium/potassium-transporting ATPase subunit alpha-1, Na(+)/K(+) ATPase alpha-1 subunit, EC 7.2.2.13 (Sodium pump subunit alpha-1)",ATP1A1
P05026,Sodium/potassium-transporting ATPase subunit beta-1 (Sodium/potassium-dependent ATPase subunit beta-1),ATP1B1
P54709,"Sodium/potassium-transporting ATPase subunit beta-3 (Sodium/potassium-dependent ATPase subunit beta-3, ATPB-3) (CD antigen CD298)",ATP1B3
P16615,"Sarcoplasmic/endoplasmic reticulum calcium ATPase 2, SERCA2, SR Ca(2+)-ATPase 2, EC 7.2.2.10 (Calcium pump 2) (Calcium-transporting ATPase sarcoplasmic reticulum type, slow twitch skeletal muscle isoform) (Endoplasmic reticulum class 1/2 Ca(2+) ATPase)",ATP2A2
Q93084,"Sarcoplasmic/endoplasmic reticulum calcium ATPase 3, SERCA3, SR Ca(2+)-ATPase 3, EC 7.2.2.10 (Calcium pump 3)",ATP2A3
P20020,"Plasma membrane calcium-transporting ATPase 1, EC 7.2.2.10 (Plasma membrane calcium ATPase isoform 1, PMCA1) (Plasma membrane calcium pump isoform 1)",ATP2B1
P23634,"Plasma membrane calcium-transporting ATPase 4, PMCA4, EC 7.2.2.10 (Matrix-remodeling-associated protein 1) (Plasma membrane calcium ATPase isoform 4) (Plasma membrane calcium pump isoform 4)",ATP2B4
P25705,"ATP synthase subunit alpha, mitochondrial (ATP synthase F1 subunit alpha)",ATP5F1A
P06576,"ATP synthase subunit beta, mitochondrial, EC 7.1.2.2 (ATP synthase F1 subunit beta)",ATP5F1B
P36542,"ATP synthase subunit gamma, mitochondrial (ATP synthase F1 subunit gamma) (F-ATPase gamma subunit)",ATP5F1C
P30049,"ATP synthase subunit delta, mitochondrial (ATP synthase F1 subunit delta) (F-ATPase delta subunit)",ATP5F1D
Q5VTU8,"ATP synthase subunit epsilon-like protein, mitochondrial (ATP synthase F1 subunit epsilon pseudogene 2)",ATP5F1EP2
Q9UII2,"ATPase inhibitor, mitochondrial (ATP synthase F1 subunit epsilon) (Inhibitor of F(1)F(o)-ATPase, IF(1), IF1)",ATP5IF1
P56134,"ATP synthase subunit f, mitochondrial (ATP synthase membrane subunit f)",ATP5MF
O75964,"ATP synthase subunit g, mitochondrial, ATPase subunit g (ATP synthase membrane subunit g)",ATP5MG
Q96IX5,"ATP synthase membrane subunit K, mitochondrial (ATP synthase membrane subunit DAPIT, mitochondrial) (Diabetes-associated protein in insulin-sensitive tissues) (HCV F-transactivated protein 2) (Up-regulated during skeletal muscle growth protein 5)",ATP5MK
P24539,"ATP synthase F(0) complex subunit B1, mitochondrial (ATP synthase peripheral stalk-membrane subunit b) (ATP synthase proton-transporting mitochondrial F(0) complex subunit B1) (ATP synthase subunit b, ATPase subunit b)",ATP5PB
O75947,"ATP synthase subunit d, mitochondrial, ATPase subunit d (ATP synthase peripheral stalk subunit d)",ATP5PD
P18859,"ATP synthase-coupling factor 6, mitochondrial, ATPase subunit F6 (ATP synthase peripheral stalk subunit F6)",ATP5PF
P48047,"ATP synthase subunit O, mitochondrial (ATP synthase peripheral stalk subunit OSCP) (Oligomycin sensitivity conferral protein, OSCP)",ATP5PO
P61421,"V-type proton ATPase subunit d 1, V-ATPase subunit d 1 (32 kDa accessory protein) (V-ATPase 40 kDa accessory protein) (V-ATPase AC39 subunit, p39) (Vacuolar proton pump subunit d 1)",ATP6V0D1
P38606,"V-type proton ATPase catalytic subunit A, V-ATPase subunit A, EC 7.1.2.2 (V-ATPase 69 kDa subunit) (Vacuolar ATPase isoform VA68) (Vacuolar proton pump subunit alpha)",ATP6V1A
P21281,"V-type proton ATPase subunit B, brain isoform, V-ATPase subunit B 2 (Endomembrane proton pump 58 kDa subunit) (HO57) (Vacuolar proton pump subunit B 2)",ATP6V1B2
P21283,"V-type proton ATPase subunit C 1, V-ATPase subunit C 1 (Vacuolar proton pump subunit C 1)",ATP6V1C1
P36543,"V-type proton ATPase subunit E 1, V-ATPase subunit E 1 (V-ATPase 31 kDa subunit, p31) (Vacuolar proton pump subunit E 1)",ATP6V1E1
O75348,"V-type proton ATPase subunit G 1, V-ATPase subunit G 1 (V-ATPase 13 kDa subunit 1) (Vacuolar proton pump subunit G 1) (Vacuolar proton pump subunit M16)",ATP6V1G1
Q9UI12,"V-type proton ATPase subunit H, V-ATPase subunit H (Nef-binding protein 1, NBP1) (Protein VMA13 homolog) (V-ATPase 50/57 kDa subunits) (Vacuolar proton pump subunit H) (Vacuolar proton pump subunit SFD)",ATP6V1H
O75882,Attractin (DPPT-L) (Mahogany homolog),ATRN
Q9UBB4,Ataxin-10 (Brain protein E46 homolog) (Spinocerebellar ataxia type 10 protein),ATXN10
P25311,"Zinc-alpha-2-glycoprotein, Zn-alpha-2-GP, Zn-alpha-2-glycoprotein",AZGP1
P20160,"Azurocidin (Cationic antimicrobial protein CAP37) (Heparin-binding protein, HBP, hHBP)",AZU1
P61769,Beta-2-microglobulin [Cleaved into: Beta-2-microglobulin form pI 5.3 ],B2M
P15291,"Beta-1,4-galactosyltransferase 1 (Beta-1,4-GalTase 1) (Beta4Gal-T1) (b4Gal-T1) (EC 2.4.1.-) (Beta-N-acetylglucosaminyl-glycolipid beta-1,4-galactosyltransferase) (Beta-N-acetylglucosaminylglycopeptide beta-1,4-galactosyltransferase) (EC 2.4.1.38) (Lactose synthase A protein) (EC 2.4.1.22) (N-acetyllactosamine synthase) (EC 2.4.1.90) (Nal synthase) (Neolactotriaosylceramide beta-1,4-galactosyltransferase) (EC 2.4.1.275) (UDP-Gal:beta-GlcNAc beta-1,4-galactosyltransferase 1) (UDP-galactose:beta-N-acetylglucosamine beta-1,4-galactosyltransferase 1) [Cleaved into: Processed beta-1,4-galactosyltransferase 1]",B4GALT1 GGTB2
O43286,"Beta-1,4-galactosyltransferase 5 (Beta-1,4-GalTase 5) (Beta4Gal-T5) (b4Gal-T5) (EC 2.4.1.-) (Beta-1,4-GalT II) (Glucosylceramide beta-1,4-galactosyltransferase) (EC 2.4.1.274) (Lactosylceramide synthase) (LacCer synthase) (UDP-Gal:beta-GlcNAc beta-1,4-galactosyltransferase 5) (UDP-galactose:beta-N-acetylglucosamine beta-1,4-galactosyltransferase 5)",B4GALT5
O95817,"BAG family molecular chaperone regulator 3, BAG-3 (Bcl-2-associated athanogene 3) (Bcl-2-binding protein Bis) (Docking protein CAIR-1)",BAG3
P46379,"Large proline-rich protein BAG6 (BAG family molecular chaperone regulator 6) (BCL2-associated athanogene 6, BAG-6) (HLA-B-associated transcript 3) (Protein G3) (Protein Scythe)",BAG6
O75531,"Barrier-to-autointegration factor (Breakpoint cluster region protein 1) [Cleaved into: Barrier-to-autointegration factor, N-terminally processed ]",BANF1
P80723,Brain acid soluble protein 1 (22 kDa neuronal tissue-enriched acidic protein) (Neuronal axonal membrane protein NAP-22),BASP1
